Fecha_Captura,Ticker,Precio_Actual,Cierre anterior,Abrir,Oferta,Precio de compra,Rango diario,Intervalo de 52 semanas,Volumen,Prom. volumen,Capitalización de mercado (intradía),Beta (5 años al mes),Ratio precio/beneficio (TMTM),BPA (TTM):,Fecha de beneficios,Previsión de rentabilidad y dividendo,Fecha de exdividendo,Objetivo est 1a
2026-03-19 01:48:21,AAPL,"249,94","254,23","252,62","249,67 x 100","250,06 x 200","249,00 - 254,94","169,21 - 288,62",34.652.568,47.466.349,"3,674B","1,12","31,64","7,90",30 abr 2026,"1,04 (0,42%)",9 feb 2026,"295,44"
2026-03-19 01:48:30,TSLA,"392,78","399,27","399,00","392,38 x 200","393,05 x 400","392,31 - 403,07","214,25 - 498,83",49.612.648,61.640.223,"1,474B","1,93","370,55","1,06",21 abr 2026,--,--,"421,61"
2026-03-20 01:42:57,AAPL,"248,96","249,94","249,40","248,75 x 100","249,07 x 100","247,30 - 251,83","169,21 - 288,62",34.568.663,45.620.586,"3,659B","1,12","31,51","7,90",30 abr 2026,"1,04 (0,42%)",9 feb 2026,"295,44"
2026-03-20 01:43:05,TSLA,"380,30","392,78","387,20","382,16 x 200","380,47 x 100","378,73 - 387,20","214,25 - 498,83",66.549.732,60.750.154,"1,427B","1,93","358,77","1,06",21 abr 2026,--,--,"421,61"
2026-03-21 01:25:51,AAPL,"247,99","248,96","248,11","235,77 x 100","248,06 x 100","246,00 - 249,20","169,21 - 288,62",87.981.315,45.621.310,"3,645B","1,12","31,55","7,86",30 abr 2026,"1,04 (0,42%)",9 feb 2026,"295,44"
2026-03-21 01:25:59,TSLA,"367,96","380,30","379,39","367,32 x 500","368,07 x 500","364,46 - 379,89","214,25 - 498,83",74.649.199,60.752.667,"1,381B","1,93","357,24","1,03",21 abr 2026,--,--,"421,27"
2026-03-22 01:47:26,AAPL,"247,99","248,96","248,11","235,77 x 100","248,06 x 100","246,00 - 249,20","169,21 - 288,62",87.981.315,46.303.626,"3,645B","1,12","31,35","7,91",30 abr 2026,"1,04 (0,42%)",9 feb 2026,"295,44"
2026-03-22 01:47:35,TSLA,"367,96","380,30","379,39","367,32 x 500","368,07 x 500","364,46 - 379,89","214,25 - 498,83",74.649.199,60.714.488,"1,381B","1,93","343,89","1,07",21 abr 2026,--,--,"421,27"
2026-03-23 01:48:56,AAPL,"247,99","248,96","248,11","235,77 x 100","248,06 x 100","246,00 - 249,20","169,21 - 288,62",88.331.081,46.303.626,"3,645B","1,12","31,35","7,91",30 abr 2026,"1,04 (0,42%)",9 feb 2026,"295,44"
2026-03-23 01:49:05,TSLA,"367,96","380,30","379,39","367,32 x 500","368,07 x 500","364,46 - 379,89","214,25 - 498,83",78.628.603,60.714.488,"1,381B","1,93","343,89","1,07",21 abr 2026,--,--,"421,27"
2026-03-24 01:28:57,AAPL,"251,49","247,99","253,99","252,51 x 200","254,98 x 300","250,28 - 254,56","169,21 - 288,62",37.465.587,46.586.027,"3,696B","1,12","31,79","7,91",30 abr 2026,"1,04 (0,42%)",9 feb 2026,"295,44"
2026-03-24 01:29:06,TSLA,"380,85","367,96","373,08","378,02 x 100","385,00 x 100","372,73 - 385,33","214,25 - 498,83",72.583.482,60.756.706,"1,429B","1,93","355,93","1,07",21 abr 2026,--,--,"421,27"
2026-03-25 01:46:47,AAPL,"251,64","251,49","250,49","251,28 x 200","263,09 x 100","249,55 - 254,82","169,21 - 288,62",27.882.961,46.970.076,"3,699B","1,12","31,85","7,90",30 abr 2026,"1,04 (0,41%)",9 feb 2026,"295,31"
2026-03-25 01:46:55,TSLA,"383,03","380,85","376,70","382,74 x 300","383,25 x 200","376,31 - 387,47","214,25 - 498,83",59.674.483,61.324.186,"1,437B","1,93","357,97","1,07",21 abr 2026,--,--,"421,27"
2026-03-26 01:52:40,AAPL,"252,62","251,64","254,02","252,19 x 200","255,00 x 200","251,60 - 254,98","169,21 - 288,62",27.690.948,46.586.027,"3,713B","1,12","31,94","7,91",30 abr 2026,"1,04 (0,41%)",9 feb 2026,"295,31"
2026-03-26 01:52:49,TSLA,"385,95","383,03","389,99","385,42 x 200","386,22 x 200","385,01 - 396,22","214,25 - 498,83",54.787.532,60.756.706,"1,448B","1,93","357,36","1,08",21 abr 2026,--,--,"421,27"
2026-03-27 01:52:47,AAPL,"252,89","252,62","251,99","252,80 x 100","253,21 x 100","250,77 - 257,00","169,21 - 288,62",41.331.888,46.968.588,"3,717B","1,12","32,05","7,89",30 abr 2026,"1,04 (0,41%)",9 feb 2026,"295,31"
2026-03-27 01:52:56,TSLA,"372,11","385,95","381,83","371,79 x 100","372,37 x 200","371,87 - 384,44","214,25 - 498,83",54.835.418,61.147.470,"1,396B","1,93","357,80","1,04",21 abr 2026,--,--,"421,27"
2026-03-28 01:44:46,AAPL,"248,80","252,89","253,91","248,70 x 100","248,97 x 100","248,07 - 255,49","169,21 - 288,62",46.525.772,46.586.027,"3,657B","1,12","31,45","7,91",30 abr 2026,"1,04 (0,41%)",9 feb 2026,"295,31"
2026-03-28 01:44:55,TSLA,"361,83","372,11","369,69","361,76 x 200","366,00 x 1100","359,48 - 369,86","214,25 - 498,83",60.620.359,60.756.706,"1,358B","1,93","331,95","1,09",21 abr 2026,--,--,"421,27"
2026-03-29 01:55:21,AAPL,"248,80","252,89","253,91","248,70 x 100","248,97 x 100","248,07 - 255,49","169,21 - 288,62",46.525.772,46.586.027,"3,657B","1,12","31,45","7,91",30 abr 2026,"1,04 (0,42%)",9 feb 2026,"295,31"
2026-03-29 01:55:30,TSLA,"361,83","372,11","369,69","361,76 x 200","366,00 x 1100","359,48 - 369,86","214,25 - 498,83",60.620.359,60.756.706,"1,358B","1,93","331,95","1,09",21 abr 2026,--,--,"421,27"
2026-03-30 01:57:57,AAPL,"248,80","252,89","253,91","248,70 x 100","248,97 x 100","248,07 - 255,49","169,21 - 288,62",47.899.998,46.586.027,"3,657B","1,12","31,45","7,91",30 abr 2026,"1,04 (0,42%)",9 feb 2026,"295,31"
2026-03-30 01:58:06,TSLA,"361,83","372,11","369,69","361,76 x 200","366,00 x 1100","359,47 - 369,86","214,25 - 498,83",62.065.659,60.756.706,"1,358B","1,93","331,95","1,09",21 abr 2026,--,--,"421,27"
2026-03-31 01:53:34,AAPL,"246,63","248,80","249,99","237,54 x 100","247,09 x 500","245,51 - 250,84","169,21 - 288,62",38.248.670,46.586.027,"3,625B","1,12","31,26","7,89",30 abr 2026,"1,04 (0,42%)",9 feb 2026,"295,31"
2026-03-31 01:53:43,TSLA,"355,28","361,83","365,86","354,94 x 100","355,68 x 100","352,14 - 367,28","214,25 - 498,83",64.411.027,60.756.706,"1,333B","1,93","332,04","1,07",21 abr 2026,--,--,"421,27"
2026-04-01 02:02:00,AAPL,"253,79","246,63","247,89","253,67 x 800","253,98 x 500","247,10 - 255,36","169,21 - 288,62",48.770.963,47.989.598,"3,73B","1,12","32,17","7,89",30 abr 2026,"1,04 (0,42%)",9 feb 2026,"295,31"
2026-04-01 02:02:09,TSLA,"371,75","355,28","361,62","371,32 x 600","371,81 x 200","361,24 - 373,33","214,25 - 498,83",75.198.376,61.427.336,"1,395B","1,93","347,43","1,07",21 abr 2026,--,--,"421,27"
